state,zone,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate
Borno,north east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,347,132,41.5,3.69,34.27,48.72,Report,41.5% (95% CI 34.3-48.7%),41.5,34.27,48.72,41.5% (95% CI 34.3-48.7%)
Borno,north east,complete_continuum,Complete continuum,347,66,19.37,2.49,14.5,24.24,Report,19.4% (95% CI 14.5-24.2%),19.37,14.5,24.24,19.4% (95% CI 14.5-24.2%)
Cross River,south south,anc_4plus,Four or more ANC contacts,148,119,79.99,3.16,73.8,86.18,Report,80.0% (95% CI 73.8-86.2%),79.99,73.8,86.18,80.0% (95% CI 73.8-86.2%)
Cross River,south south,anc_8plus,Eight or more ANC contacts,148,68,44.29,5.89,32.74,55.84,Report,44.3% (95% CI 32.7-55.8%),44.29,32.74,55.84,44.3% (95% CI 32.7-55.8%)
Cross River,south south,skilled_birth,Skilled birth attendance,148,83,55.45,4.96,45.72,65.18,Report,55.5% (95% CI 45.7-65.2%),55.45,45.72,65.18,55.5% (95% CI 45.7-65.2%)
Cross River,south south,facility_delivery,Health facility delivery,148,84,58.21,5.27,47.88,68.54,Report,58.2% (95% CI 47.9-68.5%),58.21,47.88,68.54,58.2% (95% CI 47.9-68.5%)
Cross River,south south,mother_pnc_2days,Maternal PNC within 2 days,148,110,74.64,5.16,64.53,84.75,Report,74.6% (95% CI 64.5-84.8%),74.64,64.53,84.75,74.6% (95% CI 64.5-84.8%)
Cross River,south south,newborn_pnc_2days,Newborn PNC within 2 days,148,113,76.41,5,66.61,86.21,Report,76.4% (95% CI 66.6-86.2%),76.41,66.61,86.21,76.4% (95% CI 66.6-86.2%)
Cross River,south south,paired_pnc_2days,Mother and newborn both received PNC within 2 days,148,106,72.88,5.31,62.46,83.3,Report,72.9% (95% CI 62.5-83.3%),72.88,62.46,83.3,72.9% (95% CI 62.5-83.3%)
Cross River,south south,complete_continuum,Complete continuum,148,65,44.2,4.82,34.76,53.64,Report,44.2% (95% CI 34.8-53.6%),44.2,34.76,53.64,44.2% (95% CI 34.8-53.6%)
Delta,south south,anc_4plus,Four or more ANC contacts,154,119,81.02,4.57,72.05,89.98,Report,81.0% (95% CI 72.0-90.0%),81.02,72.05,89.98,81.0% (95% CI 72.0-90.0%)
Delta,south south,anc_8plus,Eight or more ANC contacts,154,82,57.85,5.31,47.45,68.26,Report,57.9% (95% CI 47.5-68.3%),57.85,47.45,68.26,57.9% (95% CI 47.5-68.3%)
Delta,south south,skilled_birth,Skilled birth attendance,205,160,81.23,5.2,71.05,91.41,Report,81.2% (95% CI 71.0-91.4%),81.23,71.05,91.41,81.2% (95% CI 71.0-91.4%)
Delta,south south,facility_delivery,Health facility delivery,205,165,83.48,5.12,73.45,93.51,Report,83.5% (95% CI 73.5-93.5%),83.48,73.45,93.51,83.5% (95% CI 73.5-93.5%)
Delta,south south,mother_pnc_2days,Maternal PNC within 2 days,205,151,77.25,4.7,68.05,86.45,Report,77.2% (95% CI 68.0-86.5%),77.25,68.05,86.45,77.2% (95% CI 68.0-86.5%)
Delta,south south,newborn_pnc_2days,Newborn PNC within 2 days,205,144,72.38,4.2,64.15,80.61,Report,72.4% (95% CI 64.2-80.6%),72.38,64.15,80.61,72.4% (95% CI 64.2-80.6%)
Delta,south south,paired_pnc_2days,Mother and newborn both received PNC within 2 days,205,138,69.9,4.34,61.39,78.41,Report,69.9% (95% CI 61.4-78.4%),69.9,61.39,78.41,69.9% (95% CI 61.4-78.4%)
Delta,south south,complete_continuum,Complete continuum,154,85,59.35,4.73,50.09,68.62,Report,59.4% (95% CI 50.1-68.6%),59.35,50.09,68.62,59.4% (95% CI 50.1-68.6%)
Ebonyi,south east,anc_4plus,Four or more ANC contacts,332,220,61.73,4.69,52.53,70.93,Report,61.7% (95% CI 52.5-70.9%),61.73,52.53,70.93,61.7% (95% CI 52.5-70.9%)
Ebonyi,south east,anc_8plus,Eight or more ANC contacts,332,43,12.87,1.69,9.54,16.19,Report,12.9% (95% CI 9.5-16.2%),12.87,9.54,16.19,12.9% (95% CI 9.5-16.2%)
Ebonyi,south east,skilled_birth,Skilled birth attendance,332,250,73.04,3.27,66.64,79.44,Report,73.0% (95% CI 66.6-79.4%),73.04,66.64,79.44,73.0% (95% CI 66.6-79.4%)
Ebonyi,south east,facility_delivery,Health facility delivery,330,263,79.21,3.52,72.31,86.11,Report,79.2% (95% CI 72.3-86.1%),79.21,72.31,86.11,79.2% (95% CI 72.3-86.1%)
