state,zone,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate,national_percent,state_rank,best_state_percent,worst_state_percent,gap_from_best_pp,difference_from_national_pp
Adamawa,north east,anc_8plus,Eight or more ANC contacts,350,10,2.49,0.95,0.62,4.35,Report,2.5% (95% CI 0.6-4.3%),2.49,0.62,4.35,2.5% (95% CI 0.6-4.3%),16.78,33,87.57,0,85.08,-14.29
Kebbi,north west,anc_8plus,Eight or more ANC contacts,504,15,1.85,0.66,0.56,3.15,Report,1.8% (95% CI 0.6-3.1%),1.85,0.56,3.15,1.8% (95% CI 0.6-3.1%),16.78,34,87.57,0,85.72,-14.93
Jigawa,north west,anc_8plus,Eight or more ANC contacts,523,7,1.3,0.47,0.37,2.23,Report,1.3% (95% CI 0.4-2.2%),1.3,0.37,2.23,1.3% (95% CI 0.4-2.2%),16.78,35,87.57,0,86.27,-15.48
Gombe,north east,anc_8plus,Eight or more ANC contacts,391,4,1.1,0.57,-0.02,2.21,Report,1.1% (95% CI -0.0-2.2%),1.1,-0.02,2.21,1.1% (95% CI -0.0-2.2%),16.78,36,87.57,0,86.47,-15.68
Zamfara,north west,anc_8plus,Eight or more ANC contacts,292,0,0,0,0,0,Report,0.0% (95% CI 0.0-0.0%),0,0,0,0.0% (95% CI 0.0-0.0%),16.78,37,87.57,0,87.57,-16.78
Lagos,south west,anc_4plus,Four or more ANC contacts,175,170,96.64,1.88,92.96,100.32,Report,96.6% (95% CI 93.0-100.3%),96.64,92.96,100.32,96.6% (95% CI 93.0-100.3%),53.65,1,96.64,14.03,0,42.99
Osun,south west,anc_4plus,Four or more ANC contacts,148,137,92.72,2.62,87.59,97.86,Report,92.7% (95% CI 87.6-97.9%),92.72,87.59,97.86,92.7% (95% CI 87.6-97.9%),53.65,2,96.64,14.03,3.92,39.07
Ogun,south west,anc_4plus,Four or more ANC contacts,168,152,89.96,2.66,84.75,95.16,Report,90.0% (95% CI 84.8-95.2%),89.96,84.75,95.16,90.0% (95% CI 84.8-95.2%),53.65,3,96.64,14.03,6.68,36.31
Imo,south east,anc_4plus,Four or more ANC contacts,230,201,87.33,1.95,83.51,91.16,Report,87.3% (95% CI 83.5-91.2%),87.33,83.51,91.16,87.3% (95% CI 83.5-91.2%),53.65,4,96.64,14.03,9.31,33.68
Anambra,south east,anc_4plus,Four or more ANC contacts,213,181,84.86,3.69,77.62,92.1,Report,84.9% (95% CI 77.6-92.1%),84.86,77.62,92.1,84.9% (95% CI 77.6-92.1%),53.65,5,96.64,14.03,11.78,31.21
Edo,south south,anc_4plus,Four or more ANC contacts,119,101,84.22,3.29,77.77,90.67,Report,84.2% (95% CI 77.8-90.7%),84.22,77.77,90.67,84.2% (95% CI 77.8-90.7%),53.65,6,96.64,14.03,12.42,30.57
Abia,south east,anc_4plus,Four or more ANC contacts,145,120,83.97,3.37,77.37,90.58,Report,84.0% (95% CI 77.4-90.6%),83.97,77.37,90.58,84.0% (95% CI 77.4-90.6%),53.65,7,96.64,14.03,12.67,30.32
Federal Capital Territory,north central,anc_4plus,Four or more ANC contacts,161,129,82.97,3,77.09,88.84,Report,83.0% (95% CI 77.1-88.8%),82.97,77.09,88.84,83.0% (95% CI 77.1-88.8%),53.65,8,96.64,14.03,13.67,29.32
Ekiti,south west,anc_4plus,Four or more ANC contacts,87,68,82.33,4.49,73.52,91.13,Report,82.3% (95% CI 73.5-91.1%),82.33,73.52,91.13,82.3% (95% CI 73.5-91.1%),53.65,9,96.64,14.03,14.31,28.68
Delta,south south,anc_4plus,Four or more ANC contacts,154,119,81.02,4.57,72.05,89.98,Report,81.0% (95% CI 72.0-90.0%),81.02,72.05,89.98,81.0% (95% CI 72.0-90.0%),53.65,10,96.64,14.03,15.62,27.37
Cross River,south south,anc_4plus,Four or more ANC contacts,148,119,79.99,3.16,73.8,86.18,Report,80.0% (95% CI 73.8-86.2%),79.99,73.8,86.18,80.0% (95% CI 73.8-86.2%),53.65,11,96.64,14.03,16.65,26.34
Oyo,south west,anc_4plus,Four or more ANC contacts,197,157,79.89,4.23,71.59,88.18,Report,79.9% (95% CI 71.6-88.2%),79.89,71.59,88.18,79.9% (95% CI 71.6-88.2%),53.65,12,96.64,14.03,16.75,26.24
