equity_variable,equity_dimension,equity_category,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci
wealth_quintile,Wealth quintile,poorest,anc_8plus,Eight or more ANC contacts,2755,80,2.82,0.41,2.01,3.63,Report,2.8% (95% CI 2.0-3.6%)
wealth_quintile,Wealth quintile,poorest,skilled_birth,Skilled birth attendance,2766,447,15.55,1.07,13.46,17.64,Report,15.6% (95% CI 13.5-17.6%)
wealth_quintile,Wealth quintile,poorest,facility_delivery,Health facility delivery,2763,480,17.35,1.3,14.81,19.89,Report,17.4% (95% CI 14.8-19.9%)
wealth_quintile,Wealth quintile,poorest,mother_pnc_2days,Maternal PNC within 2 days,2766,605,22.05,1.3,19.49,24.6,Report,22.1% (95% CI 19.5-24.6%)
wealth_quintile,Wealth quintile,poorest,newborn_pnc_2days,Newborn PNC within 2 days,2766,647,22.45,1.33,19.84,25.07,Report,22.4% (95% CI 19.8-25.1%)
wealth_quintile,Wealth quintile,poorest,paired_pnc_2days,Mother and newborn both received PNC within 2 days,2766,536,18.49,1.25,16.05,20.94,Report,18.5% (95% CI 16.1-20.9%)
wealth_quintile,Wealth quintile,poorest,complete_continuum,Complete continuum,2755,141,4.63,0.6,3.45,5.82,Report,4.6% (95% CI 3.4-5.8%)
wealth_quintile,Wealth quintile,richer,anc_4plus,Four or more ANC contacts,1868,1410,75.75,1.23,73.33,78.17,Report,75.8% (95% CI 73.3-78.2%)
wealth_quintile,Wealth quintile,richer,anc_8plus,Eight or more ANC contacts,1868,521,26.77,1.47,23.9,29.65,Report,26.8% (95% CI 23.9-29.6%)
wealth_quintile,Wealth quintile,richer,skilled_birth,Skilled birth attendance,1962,1436,70.9,1.42,68.11,73.68,Report,70.9% (95% CI 68.1-73.7%)
wealth_quintile,Wealth quintile,richer,facility_delivery,Health facility delivery,1942,1298,63.45,1.45,60.61,66.28,Report,63.5% (95% CI 60.6-66.3%)
wealth_quintile,Wealth quintile,richer,mother_pnc_2days,Maternal PNC within 2 days,1962,1218,60.54,1.43,57.74,63.35,Report,60.5% (95% CI 57.7-63.4%)
wealth_quintile,Wealth quintile,richer,newborn_pnc_2days,Newborn PNC within 2 days,1962,1190,58.02,1.44,55.2,60.84,Report,58.0% (95% CI 55.2-60.8%)
wealth_quintile,Wealth quintile,richer,paired_pnc_2days,Mother and newborn both received PNC within 2 days,1962,1093,53.23,1.49,50.31,56.15,Report,53.2% (95% CI 50.3-56.1%)
wealth_quintile,Wealth quintile,richer,complete_continuum,Complete continuum,1868,787,40.49,1.39,37.77,43.21,Report,40.5% (95% CI 37.8-43.2%)
wealth_quintile,Wealth quintile,richest,anc_4plus,Four or more ANC contacts,1542,1396,90.57,0.87,88.86,92.29,Report,90.6% (95% CI 88.9-92.3%)
wealth_quintile,Wealth quintile,richest,anc_8plus,Eight or more ANC contacts,1542,795,52.37,1.77,48.89,55.84,Report,52.4% (95% CI 48.9-55.8%)
wealth_quintile,Wealth quintile,richest,skilled_birth,Skilled birth attendance,1659,1524,91.52,0.91,89.73,93.31,Report,91.5% (95% CI 89.7-93.3%)
wealth_quintile,Wealth quintile,richest,facility_delivery,Health facility delivery,1645,1481,89.52,0.95,87.67,91.38,Report,89.5% (95% CI 87.7-91.4%)
wealth_quintile,Wealth quintile,richest,mother_pnc_2days,Maternal PNC within 2 days,1659,1355,81.58,1.31,79.01,84.15,Report,81.6% (95% CI 79.0-84.2%)
wealth_quintile,Wealth quintile,richest,newborn_pnc_2days,Newborn PNC within 2 days,1659,1330,79.56,1.22,77.17,81.95,Report,79.6% (95% CI 77.2-82.0%)
wealth_quintile,Wealth quintile,richest,paired_pnc_2days,Mother and newborn both received PNC within 2 days,1659,1259,75.07,1.43,72.27,77.86,Report,75.1% (95% CI 72.3-77.9%)
wealth_quintile,Wealth quintile,richest,complete_continuum,Complete continuum,1542,1032,65.79,1.53,62.79,68.79,Report,65.8% (95% CI 62.8-68.8%)
education,Education,higher,anc_4plus,Four or more ANC contacts,1061,959,90.62,1.02,88.62,92.63,Report,90.6% (95% CI 88.6-92.6%)
education,Education,higher,anc_8plus,Eight or more ANC contacts,1061,485,45.93,1.9,42.21,49.65,Report,45.9% (95% CI 42.2-49.6%)
education,Education,higher,skilled_birth,Skilled birth attendance,1143,1049,90.85,1.09,88.71,92.98,Report,90.8% (95% CI 88.7-93.0%)
education,Education,higher,facility_delivery,Health facility delivery,1137,1029,90.07,1.11,87.89,92.25,Report,90.1% (95% CI 87.9-92.2%)
education,Education,higher,mother_pnc_2days,Maternal PNC within 2 days,1143,958,82.86,1.41,80.1,85.62,Report,82.9% (95% CI 80.1-85.6%)
education,Education,higher,newborn_pnc_2days,Newborn PNC within 2 days,1143,936,80.96,1.41,78.2,83.73,Report,81.0% (95% CI 78.2-83.7%)
education,Education,higher,paired_pnc_2days,Mother and newborn both received PNC within 2 days,1143,898,77.5,1.63,74.31,80.7,Report,77.5% (95% CI 74.3-80.7%)
education,Education,higher,complete_continuum,Complete continuum,1061,754,69.66,1.71,66.32,73.01,Report,69.7% (95% CI 66.3-73.0%)
education,Education,no education,anc_4plus,Four or more ANC contacts,4513,1360,31.83,1.32,29.25,34.41,Report,31.8% (95% CI 29.2-34.4%)
education,Education,no education,anc_8plus,Eight or more ANC contacts,4513,137,3.24,0.39,2.48,4,Report,3.2% (95% CI 2.5-4.0%)
