variable,raw_value,display_value,n,percent
m67,111,111,3,0.016679639719782053
m67,114,114,3,0.016679639719782053
m67,118,118,3,0.016679639719782053
m67,217,217,3,0.016679639719782053
m67,113,113,2,0.011119759813188036
m67,115,115,2,0.011119759813188036
m67,212,212,2,0.011119759813188036
m67,121,121,1,0.005559879906594018
m67,211,211,1,0.005559879906594018
m67,230,230,1,0.005559879906594018
m67,241,241,1,0.005559879906594018
m67,308,308,1,0.005559879906594018
m67,310,310,1,0.005559879906594018
m68,<MISSING>,<MISSING>,15707,87.32903369287224
m68,12,[12] nurse/midwife,938,5.215167352385189
m68,22,[22] traditional birth attendant,594,3.3025686645168464
m68,11,[11] doctor,384,2.134993884132103
m68,13,[13] community health extension worker,153,0.8506616257088847
m68,21,[21] auxiliary midwife,130,0.7227843878572223
m68,23,[23] community health influencers promoters and services (chips)/community health wor,46,0.2557544757033248
m68,96,[96] other,34,0.1890359168241966
m70,0,[0] no,11670,64.88379850995219
m70,<MISSING>,<MISSING>,3946,21.939286111419992
m70,1,[1] yes,2332,12.965639942177248
m70,8,[8] don't know,38,0.21127543645057265
m71,<MISSING>,<MISSING>,15654,87.03436005782275
m71,100,[100] immediately/in first hour,565,3.14133214722562
m71,101,[101] hours: 1,325,1.8069609696430555
m71,201,[201] days: 1,302,1.6790837317913934
m71,202,202,215,1.1953741799177138
m71,102,102,203,1.1286556210385856
m71,103,103,111,0.617146669631936
m71,203,203,111,0.617146669631936
m71,301,[301] weeks: 1,51,0.28355387523629494
m71,105,105,47,0.26131435560991884
m71,104,104,45,0.2501945957967308
m71,106,106,39,0.21683531635716666
m71,204,204,36,0.20015567663738462
m71,205,205,34,0.1890359168241966
m71,302,302,32,0.17791615701100857
m71,207,207,31,0.17235627710441456
m71,108,108,24,0.13343711775825642
m71,306,306,21,0.11675747803847436
m71,124,124,18,0.10007783831869231
m71,304,304,14,0.07783831869231625
m71,206,206,13,0.07227843878572224
m71,107,107,12,0.06671855887912821
m71,208,208,12,0.06671855887912821
m71,110,110,8,0.044479039252752144
