equity_variable,equity_dimension,equity_category,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate,highest_percent,lowest_percent,rank_high_to_low,gap_to_best_pp,gap_above_lowest_pp
residence,Residence,urban,newborn_pnc_2days,Newborn PNC within 2 days,4012,2551,62.01,1.3,59.46,64.56,Report,62.0% (95% CI 59.5-64.6%),62.01,59.46,64.56,62.0% (95% CI 59.5-64.6%),62.01,30.18,1,0,31.83
residence,Residence,urban,paired_pnc_2days,Mother and newborn both received PNC within 2 days,4012,2362,57.24,1.35,54.6,59.89,Report,57.2% (95% CI 54.6-59.9%),57.24,54.6,59.89,57.2% (95% CI 54.6-59.9%),57.24,26.45,1,0,30.79
residence,Residence,urban,complete_continuum,Complete continuum,3808,1715,43.34,1.32,40.76,45.92,Report,43.3% (95% CI 40.8-45.9%),43.34,40.76,45.92,43.3% (95% CI 40.8-45.9%),43.34,13.34,1,0,30
wealth_quintile,Wealth quintile,middle,anc_4plus,Four or more ANC contacts,1954,1104,54.74,1.75,51.31,58.17,Report,54.7% (95% CI 51.3-58.2%),54.74,51.31,58.17,54.7% (95% CI 51.3-58.2%),90.57,27.54,3,35.83,27.2
wealth_quintile,Wealth quintile,middle,anc_8plus,Eight or more ANC contacts,1954,270,12.62,0.94,10.78,14.47,Report,12.6% (95% CI 10.8-14.5%),12.62,10.78,14.47,12.6% (95% CI 10.8-14.5%),52.37,2.82,3,39.75,9.8
wealth_quintile,Wealth quintile,middle,skilled_birth,Skilled birth attendance,2002,1011,45.81,1.71,42.45,49.17,Report,45.8% (95% CI 42.5-49.2%),45.81,42.45,49.17,45.8% (95% CI 42.5-49.2%),91.52,15.55,3,45.71,30.26
wealth_quintile,Wealth quintile,middle,facility_delivery,Health facility delivery,1989,926,41.02,1.7,37.69,44.35,Report,41.0% (95% CI 37.7-44.4%),41.02,37.69,44.35,41.0% (95% CI 37.7-44.4%),89.52,17.35,3,48.5,23.67
wealth_quintile,Wealth quintile,middle,mother_pnc_2days,Maternal PNC within 2 days,2002,958,43.02,1.77,39.56,46.49,Report,43.0% (95% CI 39.6-46.5%),43.02,39.56,46.49,43.0% (95% CI 39.6-46.5%),81.58,22.05,3,38.56,20.97
wealth_quintile,Wealth quintile,middle,newborn_pnc_2days,Newborn PNC within 2 days,2002,964,42.84,1.76,39.4,46.28,Report,42.8% (95% CI 39.4-46.3%),42.84,39.4,46.28,42.8% (95% CI 39.4-46.3%),79.56,22.45,3,36.72,20.39
wealth_quintile,Wealth quintile,middle,paired_pnc_2days,Mother and newborn both received PNC within 2 days,2002,879,38.86,1.71,35.51,42.21,Report,38.9% (95% CI 35.5-42.2%),38.86,35.51,42.21,38.9% (95% CI 35.5-42.2%),75.07,18.49,3,36.21,20.37
wealth_quintile,Wealth quintile,middle,complete_continuum,Complete continuum,1954,505,22.61,1.23,20.2,25.02,Report,22.6% (95% CI 20.2-25.0%),22.61,20.2,25.02,22.6% (95% CI 20.2-25.0%),65.79,4.63,3,43.18,17.98
wealth_quintile,Wealth quintile,poorer,anc_4plus,Four or more ANC contacts,2117,869,40.92,1.67,37.65,44.19,Report,40.9% (95% CI 37.6-44.2%),40.92,37.65,44.19,40.9% (95% CI 37.6-44.2%),90.57,27.54,4,49.65,13.38
wealth_quintile,Wealth quintile,poorer,anc_8plus,Eight or more ANC contacts,2117,125,5.46,0.64,4.21,6.71,Report,5.5% (95% CI 4.2-6.7%),5.46,4.21,6.71,5.5% (95% CI 4.2-6.7%),52.37,2.82,4,46.91,2.64
wealth_quintile,Wealth quintile,poorer,skilled_birth,Skilled birth attendance,2133,610,25.04,1.49,22.12,27.96,Report,25.0% (95% CI 22.1-28.0%),25.04,22.12,27.96,25.0% (95% CI 22.1-28.0%),91.52,15.55,4,66.48,9.49
wealth_quintile,Wealth quintile,poorer,facility_delivery,Health facility delivery,2121,609,25.22,1.58,22.13,28.32,Report,25.2% (95% CI 22.1-28.3%),25.22,22.13,28.32,25.2% (95% CI 22.1-28.3%),89.52,17.35,4,64.3,7.87
wealth_quintile,Wealth quintile,poorer,mother_pnc_2days,Maternal PNC within 2 days,2133,611,25.45,1.42,22.66,28.25,Report,25.4% (95% CI 22.7-28.2%),25.45,22.66,28.25,25.4% (95% CI 22.7-28.2%),81.58,22.05,4,56.13,3.4
wealth_quintile,Wealth quintile,poorer,newborn_pnc_2days,Newborn PNC within 2 days,2133,634,25.86,1.29,23.32,28.39,Report,25.9% (95% CI 23.3-28.4%),25.86,23.32,28.39,25.9% (95% CI 23.3-28.4%),79.56,22.45,4,53.7,3.41
wealth_quintile,Wealth quintile,poorer,paired_pnc_2days,Mother and newborn both received PNC within 2 days,2133,551,22.21,1.25,19.76,24.65,Report,22.2% (95% CI 19.8-24.6%),22.21,19.76,24.65,22.2% (95% CI 19.8-24.6%),75.07,18.49,4,52.86,3.72
wealth_quintile,Wealth quintile,poorer,complete_continuum,Complete continuum,2117,237,9.56,0.83,7.94,11.18,Report,9.6% (95% CI 7.9-11.2%),9.56,7.94,11.18,9.6% (95% CI 7.9-11.2%),65.79,4.63,4,56.23,4.93
wealth_quintile,Wealth quintile,poorest,anc_4plus,Four or more ANC contacts,2755,746,27.54,1.5,24.59,30.49,Report,27.5% (95% CI 24.6-30.5%),27.54,24.59,30.49,27.5% (95% CI 24.6-30.5%),90.57,27.54,5,63.03,0
wealth_quintile,Wealth quintile,poorest,anc_8plus,Eight or more ANC contacts,2755,80,2.82,0.41,2.01,3.63,Report,2.8% (95% CI 2.0-3.6%),2.82,2.01,3.63,2.8% (95% CI 2.0-3.6%),52.37,2.82,5,49.55,0
wealth_quintile,Wealth quintile,poorest,skilled_birth,Skilled birth attendance,2766,447,15.55,1.07,13.46,17.64,Report,15.6% (95% CI 13.5-17.6%),15.55,13.46,17.64,15.6% (95% CI 13.5-17.6%),91.52,15.55,5,75.97,0
wealth_quintile,Wealth quintile,poorest,facility_delivery,Health facility delivery,2763,480,17.35,1.3,14.81,19.89,Report,17.4% (95% CI 14.8-19.9%),17.35,14.81,19.89,17.4% (95% CI 14.8-19.9%),89.52,17.35,5,72.17,0
wealth_quintile,Wealth quintile,poorest,mother_pnc_2days,Maternal PNC within 2 days,2766,605,22.05,1.3,19.49,24.6,Report,22.1% (95% CI 19.5-24.6%),22.05,19.49,24.6,22.1% (95% CI 19.5-24.6%),81.58,22.05,5,59.53,0
wealth_quintile,Wealth quintile,poorest,newborn_pnc_2days,Newborn PNC within 2 days,2766,647,22.45,1.33,19.84,25.07,Report,22.4% (95% CI 19.8-25.1%),22.45,19.84,25.07,22.4% (95% CI 19.8-25.1%),79.56,22.45,5,57.11,0
wealth_quintile,Wealth quintile,poorest,paired_pnc_2days,Mother and newborn both received PNC within 2 days,2766,536,18.49,1.25,16.05,20.94,Report,18.5% (95% CI 16.1-20.9%),18.49,16.05,20.94,18.5% (95% CI 16.1-20.9%),75.07,18.49,5,56.58,0
wealth_quintile,Wealth quintile,poorest,complete_continuum,Complete continuum,2755,141,4.63,0.6,3.45,5.82,Report,4.6% (95% CI 3.4-5.8%),4.63,3.45,5.82,4.6% (95% CI 3.4-5.8%),65.79,4.63,5,61.16,0
wealth_quintile,Wealth quintile,richer,anc_4plus,Four or more ANC contacts,1868,1410,75.75,1.23,73.33,78.17,Report,75.8% (95% CI 73.3-78.2%),75.75,73.33,78.17,75.8% (95% CI 73.3-78.2%),90.57,27.54,2,14.82,48.21
wealth_quintile,Wealth quintile,richer,anc_8plus,Eight or more ANC contacts,1868,521,26.77,1.47,23.9,29.65,Report,26.8% (95% CI 23.9-29.6%),26.77,23.9,29.65,26.8% (95% CI 23.9-29.6%),52.37,2.82,2,25.6,23.95
wealth_quintile,Wealth quintile,richer,skilled_birth,Skilled birth attendance,1962,1436,70.9,1.42,68.11,73.68,Report,70.9% (95% CI 68.1-73.7%),70.9,68.11,73.68,70.9% (95% CI 68.1-73.7%),91.52,15.55,2,20.62,55.35
wealth_quintile,Wealth quintile,richer,facility_delivery,Health facility delivery,1942,1298,63.45,1.45,60.61,66.28,Report,63.5% (95% CI 60.6-66.3%),63.45,60.61,66.28,63.5% (95% CI 60.6-66.3%),89.52,17.35,2,26.07,46.1
wealth_quintile,Wealth quintile,richer,mother_pnc_2days,Maternal PNC within 2 days,1962,1218,60.54,1.43,57.74,63.35,Report,60.5% (95% CI 57.7-63.4%),60.54,57.74,63.35,60.5% (95% CI 57.7-63.4%),81.58,22.05,2,21.04,38.49
wealth_quintile,Wealth quintile,richer,newborn_pnc_2days,Newborn PNC within 2 days,1962,1190,58.02,1.44,55.2,60.84,Report,58.0% (95% CI 55.2-60.8%),58.02,55.2,60.84,58.0% (95% CI 55.2-60.8%),79.56,22.45,2,21.54,35.57
wealth_quintile,Wealth quintile,richer,paired_pnc_2days,Mother and newborn both received PNC within 2 days,1962,1093,53.23,1.49,50.31,56.15,Report,53.2% (95% CI 50.3-56.1%),53.23,50.31,56.15,53.2% (95% CI 50.3-56.1%),75.07,18.49,2,21.84,34.74
wealth_quintile,Wealth quintile,richer,complete_continuum,Complete continuum,1868,787,40.49,1.39,37.77,43.21,Report,40.5% (95% CI 37.8-43.2%),40.49,37.77,43.21,40.5% (95% CI 37.8-43.2%),65.79,4.63,2,25.3,35.86
wealth_quintile,Wealth quintile,richest,anc_4plus,Four or more ANC contacts,1542,1396,90.57,0.87,88.86,92.29,Report,90.6% (95% CI 88.9-92.3%),90.57,88.86,92.29,90.6% (95% CI 88.9-92.3%),90.57,27.54,1,0,63.03
wealth_quintile,Wealth quintile,richest,anc_8plus,Eight or more ANC contacts,1542,795,52.37,1.77,48.89,55.84,Report,52.4% (95% CI 48.9-55.8%),52.37,48.89,55.84,52.4% (95% CI 48.9-55.8%),52.37,2.82,1,0,49.55
wealth_quintile,Wealth quintile,richest,skilled_birth,Skilled birth attendance,1659,1524,91.52,0.91,89.73,93.31,Report,91.5% (95% CI 89.7-93.3%),91.52,89.73,93.31,91.5% (95% CI 89.7-93.3%),91.52,15.55,1,0,75.97
wealth_quintile,Wealth quintile,richest,facility_delivery,Health facility delivery,1645,1481,89.52,0.95,87.67,91.38,Report,89.5% (95% CI 87.7-91.4%),89.52,87.67,91.38,89.5% (95% CI 87.7-91.4%),89.52,17.35,1,0,72.17
wealth_quintile,Wealth quintile,richest,mother_pnc_2days,Maternal PNC within 2 days,1659,1355,81.58,1.31,79.01,84.15,Report,81.6% (95% CI 79.0-84.2%),81.58,79.01,84.15,81.6% (95% CI 79.0-84.2%),81.58,22.05,1,0,59.53
wealth_quintile,Wealth quintile,richest,newborn_pnc_2days,Newborn PNC within 2 days,1659,1330,79.56,1.22,77.17,81.95,Report,79.6% (95% CI 77.2-82.0%),79.56,77.17,81.95,79.6% (95% CI 77.2-82.0%),79.56,22.45,1,0,57.11
wealth_quintile,Wealth quintile,richest,paired_pnc_2days,Mother and newborn both received PNC within 2 days,1659,1259,75.07,1.43,72.27,77.86,Report,75.1% (95% CI 72.3-77.9%),75.07,72.27,77.86,75.1% (95% CI 72.3-77.9%),75.07,18.49,1,0,56.58
