state,zone,indicator,state_rank,public_weighted_percent,national_percent,difference_from_national_pp,gap_from_best_pp,reporting_status
Sokoto,north west,Mother and newborn both received PNC within 2 days,37,9.68,38.14,-28.46,73.53,Report
Edo,south south,Newborn PNC within 2 days,1,86.82,42.27,44.55,0,Report
Federal Capital Territory,north central,Newborn PNC within 2 days,2,86.71,42.27,44.44,0.11,Report
Lagos,south west,Newborn PNC within 2 days,3,86.47,42.27,44.2,0.35,Report
Ogun,south west,Newborn PNC within 2 days,4,81.72,42.27,39.45,5.1,Report
Ekiti,south west,Newborn PNC within 2 days,5,78.39,42.27,36.12,8.43,Report
Osun,south west,Newborn PNC within 2 days,6,76.5,42.27,34.23,10.32,Report
Cross River,south south,Newborn PNC within 2 days,7,76.41,42.27,34.14,10.41,Report
Ondo,south west,Newborn PNC within 2 days,8,73.49,42.27,31.22,13.33,Report
Delta,south south,Newborn PNC within 2 days,9,72.38,42.27,30.11,14.44,Report
Oyo,south west,Newborn PNC within 2 days,10,71.45,42.27,29.18,15.37,Report
Anambra,south east,Newborn PNC within 2 days,11,70.87,42.27,28.6,15.95,Report
Akwa Ibom,south south,Newborn PNC within 2 days,12,69.17,42.27,26.9,17.65,Report
Abia,south east,Newborn PNC within 2 days,13,65.9,42.27,23.63,20.92,Report
Nasarawa,north central,Newborn PNC within 2 days,14,65.23,42.27,22.96,21.59,Report
Enugu,south east,Newborn PNC within 2 days,15,62.51,42.27,20.24,24.31,Report
Imo,south east,Newborn PNC within 2 days,16,59.52,42.27,17.25,27.3,Report
Adamawa,north east,Newborn PNC within 2 days,17,58.91,42.27,16.64,27.91,Report
Kwara,north central,Newborn PNC within 2 days,18,58.13,42.27,15.86,28.69,Report
Benue,north central,Newborn PNC within 2 days,19,56.73,42.27,14.46,30.09,Report
Ebonyi,south east,Newborn PNC within 2 days,20,56.2,42.27,13.93,30.62,Report
Kogi,north central,Newborn PNC within 2 days,21,55.33,42.27,13.06,31.49,Report
Rivers,south south,Newborn PNC within 2 days,22,54.19,42.27,11.92,32.63,Report
Plateau,north central,Newborn PNC within 2 days,23,52.88,42.27,10.61,33.94,Report
Gombe,north east,Newborn PNC within 2 days,24,46.49,42.27,4.22,40.33,Report
Borno,north east,Newborn PNC within 2 days,25,44.97,42.27,2.7,41.85,Report
Jigawa,north west,Newborn PNC within 2 days,26,41.4,42.27,-0.87,45.42,Report
Bayelsa,south south,Newborn PNC within 2 days,27,41.18,42.27,-1.09,45.64,Report
Niger,north central,Newborn PNC within 2 days,28,35.24,42.27,-7.03,51.58,Report
