state,zone,indicator,unweighted_n,public_weighted_percent,public_ci_low,public_ci_high,reporting_status,public_estimate
Jigawa,north west,Newborn PNC within 2 days,523,41.4,35.76,47.03,Report,41.4% (95% CI 35.8-47.0%)
Jigawa,north west,Mother and newborn both received PNC within 2 days,523,38.48,33.34,43.62,Report,38.5% (95% CI 33.3-43.6%)
Jigawa,north west,Complete continuum,523,8.84,5.3,12.38,Report,8.8% (95% CI 5.3-12.4%)
Kaduna,north west,Four or more ANC contacts,504,59.43,50.93,67.94,Report,59.4% (95% CI 50.9-67.9%)
Kaduna,north west,Eight or more ANC contacts,504,12.97,8.89,17.04,Report,13.0% (95% CI 8.9-17.0%)
Kaduna,north west,Skilled birth attendance,504,35.03,25.63,44.43,Report,35.0% (95% CI 25.6-44.4%)
Kaduna,north west,Health facility delivery,502,25.09,16.48,33.7,Report,25.1% (95% CI 16.5-33.7%)
Kaduna,north west,Maternal PNC within 2 days,504,22.62,15.2,30.04,Report,22.6% (95% CI 15.2-30.0%)
Kaduna,north west,Newborn PNC within 2 days,504,23.57,16.73,30.41,Report,23.6% (95% CI 16.7-30.4%)
Kaduna,north west,Mother and newborn both received PNC within 2 days,504,19.75,13.03,26.46,Report,19.8% (95% CI 13.0-26.5%)
Kaduna,north west,Complete continuum,504,16.82,11.19,22.45,Report,16.8% (95% CI 11.2-22.4%)
Kano,north west,Four or more ANC contacts,566,52.18,45.41,58.95,Report,52.2% (95% CI 45.4-59.0%)
Kano,north west,Eight or more ANC contacts,566,6.69,2.77,10.61,Report,6.7% (95% CI 2.8-10.6%)
Kano,north west,Skilled birth attendance,575,35.66,29.44,41.87,Report,35.7% (95% CI 29.4-41.9%)
Kano,north west,Health facility delivery,574,32.34,26.61,38.07,Report,32.3% (95% CI 26.6-38.1%)
Kano,north west,Maternal PNC within 2 days,575,32.84,27,38.68,Report,32.8% (95% CI 27.0-38.7%)
Kano,north west,Newborn PNC within 2 days,575,30.07,24.55,35.59,Report,30.1% (95% CI 24.6-35.6%)
Kano,north west,Mother and newborn both received PNC within 2 days,575,25.3,19.74,30.86,Report,25.3% (95% CI 19.7-30.9%)
Kano,north west,Complete continuum,566,13.96,10.14,17.78,Report,14.0% (95% CI 10.1-17.8%)
Katsina,north west,Four or more ANC contacts,419,37.24,28.42,46.06,Report,37.2% (95% CI 28.4-46.1%)
Katsina,north west,Eight or more ANC contacts,419,3.14,1.14,5.13,Report,3.1% (95% CI 1.1-5.1%)
Katsina,north west,Skilled birth attendance,420,18.56,12.43,24.7,Report,18.6% (95% CI 12.4-24.7%)
Katsina,north west,Health facility delivery,420,15.33,10.87,19.8,Report,15.3% (95% CI 10.9-19.8%)
Katsina,north west,Maternal PNC within 2 days,420,19.39,14.93,23.84,Report,19.4% (95% CI 14.9-23.8%)
Katsina,north west,Newborn PNC within 2 days,420,17.47,13.45,21.49,Report,17.5% (95% CI 13.4-21.5%)
Katsina,north west,Mother and newborn both received PNC within 2 days,420,13.03,9.46,16.59,Report,13.0% (95% CI 9.5-16.6%)
Katsina,north west,Complete continuum,419,5.78,3.32,8.25,Report,5.8% (95% CI 3.3-8.2%)
Kebbi,north west,Four or more ANC contacts,504,14.03,9.86,18.2,Report,14.0% (95% CI 9.9-18.2%)
Kebbi,north west,Eight or more ANC contacts,504,1.85,0.56,3.15,Report,1.8% (95% CI 0.6-3.1%)
Kebbi,north west,Skilled birth attendance,504,9.81,6.49,13.13,Report,9.8% (95% CI 6.5-13.1%)
Kebbi,north west,Health facility delivery,504,9.1,6.24,11.96,Report,9.1% (95% CI 6.2-12.0%)
Kebbi,north west,Maternal PNC within 2 days,504,11.32,7.52,15.12,Report,11.3% (95% CI 7.5-15.1%)
Kebbi,north west,Newborn PNC within 2 days,504,14.17,9.99,18.35,Report,14.2% (95% CI 10.0-18.4%)
Kebbi,north west,Mother and newborn both received PNC within 2 days,504,9.97,6.34,13.59,Report,10.0% (95% CI 6.3-13.6%)
Kebbi,north west,Complete continuum,504,3.28,1.68,4.88,Report,3.3% (95% CI 1.7-4.9%)
Kogi,north central,Four or more ANC contacts,269,54.26,44.18,64.34,Report,54.3% (95% CI 44.2-64.3%)
Kogi,north central,Eight or more ANC contacts,269,14.12,8.08,20.15,Report,14.1% (95% CI 8.1-20.1%)
Kogi,north central,Skilled birth attendance,270,60.65,51.44,69.86,Report,60.6% (95% CI 51.4-69.9%)
Kogi,north central,Health facility delivery,267,62.74,53.48,72.01,Report,62.7% (95% CI 53.5-72.0%)
Kogi,north central,Maternal PNC within 2 days,270,56.17,46.56,65.79,Report,56.2% (95% CI 46.6-65.8%)
Kogi,north central,Newborn PNC within 2 days,270,55.33,45.49,65.17,Report,55.3% (95% CI 45.5-65.2%)
Kogi,north central,Mother and newborn both received PNC within 2 days,270,51.08,41.8,60.37,Report,51.1% (95% CI 41.8-60.4%)
Kogi,north central,Complete continuum,269,37.44,28.43,46.46,Report,37.4% (95% CI 28.4-46.5%)
Kwara,north central,Four or more ANC contacts,226,51.58,35.99,67.16,Report,51.6% (95% CI 36.0-67.2%)
Kwara,north central,Eight or more ANC contacts,226,29.42,19.43,39.41,Report,29.4% (95% CI 19.4-39.4%)
Kwara,north central,Skilled birth attendance,227,54.4,37.43,71.38,Report,54.4% (95% CI 37.4-71.4%)
Kwara,north central,Health facility delivery,227,50.96,34.73,67.19,Report,51.0% (95% CI 34.7-67.2%)
Kwara,north central,Maternal PNC within 2 days,227,56.95,45.89,68.02,Report,57.0% (95% CI 45.9-68.0%)
Kwara,north central,Newborn PNC within 2 days,227,58.13,47.19,69.07,Report,58.1% (95% CI 47.2-69.1%)
Kwara,north central,Mother and newborn both received PNC within 2 days,227,53.47,42.86,64.08,Report,53.5% (95% CI 42.9-64.1%)
Kwara,north central,Complete continuum,226,36.08,23.01,49.16,Report,36.1% (95% CI 23.0-49.2%)
Lagos,south west,Four or more ANC contacts,175,96.64,92.96,100.32,Report,96.6% (95% CI 93.0-100.3%)
Lagos,south west,Eight or more ANC contacts,175,87.57,80.57,94.57,Report,87.6% (95% CI 80.6-94.6%)
Lagos,south west,Skilled birth attendance,177,86.23,74.43,98.04,Report,86.2% (95% CI 74.4-98.0%)
Lagos,south west,Health facility delivery,177,85.9,75.83,95.98,Report,85.9% (95% CI 75.8-96.0%)
Lagos,south west,Maternal PNC within 2 days,177,87.32,82.25,92.38,Report,87.3% (95% CI 82.2-92.4%)
